[ T - Deposit ]
    title = Energy Deposition in silicon
     mesh =  reg            # mesh type is region-wise
      reg = 100
     unit =    3            # unit is [1/source] : only for output=deposit
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
   dresol =  2.0000000E-01  # (D=0) width = sqrt(dresol**2 + dfano*E)
    dfano =  5.0000000E-02  # (D=0) width = sqrt(dresol**2 + dfano*E)
 material =  all            # (D=all) number of specific material
   output = deposit         # deposit enerygy distribution
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =  1.0000000E-05  # minimum value of e-mesh points
     emax =   10.00000      # maximum value of e-mesh points
#    edel =  6.9077553E-02  # mesh width of e-mesh points
       ne =    200          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-05  1.07152E-05  1.14815E-05  1.23027E-05  1.31826E-05
#           1.41254E-05  1.51356E-05  1.62181E-05  1.73780E-05  1.86209E-05
#           1.99526E-05  2.13796E-05  2.29087E-05  2.45471E-05  2.63027E-05
#           2.81838E-05  3.01995E-05  3.23594E-05  3.46737E-05  3.71535E-05
#           3.98107E-05  4.26580E-05  4.57088E-05  4.89779E-05  5.24807E-05
#           5.62341E-05  6.02560E-05  6.45654E-05  6.91831E-05  7.41310E-05
#           7.94328E-05  8.51138E-05  9.12011E-05  9.77237E-05  1.04713E-04
#           1.12202E-04  1.20226E-04  1.28825E-04  1.38038E-04  1.47911E-04
#           1.58489E-04  1.69824E-04  1.81970E-04  1.94984E-04  2.08930E-04
#           2.23872E-04  2.39883E-04  2.57040E-04  2.75423E-04  2.95121E-04
#           3.16228E-04  3.38844E-04  3.63078E-04  3.89045E-04  4.16869E-04
#           4.46684E-04  4.78630E-04  5.12861E-04  5.49541E-04  5.88844E-04
#           6.30957E-04  6.76083E-04  7.24436E-04  7.76247E-04  8.31764E-04
#           8.91251E-04  9.54993E-04  1.02329E-03  1.09648E-03  1.17490E-03
#           1.25893E-03  1.34896E-03  1.44544E-03  1.54882E-03  1.65959E-03
#           1.77828E-03  1.90546E-03  2.04174E-03  2.18776E-03  2.34423E-03
#           2.51189E-03  2.69153E-03  2.88403E-03  3.09030E-03  3.31131E-03
#           3.54813E-03  3.80189E-03  4.07380E-03  4.36516E-03  4.67735E-03
#           5.01187E-03  5.37032E-03  5.75440E-03  6.16595E-03  6.60693E-03
#           7.07946E-03  7.58578E-03  8.12831E-03  8.70964E-03  9.33254E-03
#           1.00000E-02  1.07152E-02  1.14815E-02  1.23027E-02  1.31826E-02
#           1.41254E-02  1.51356E-02  1.62181E-02  1.73780E-02  1.86209E-02
#           1.99526E-02  2.13796E-02  2.29087E-02  2.45471E-02  2.63027E-02
#           2.81838E-02  3.01995E-02  3.23594E-02  3.46737E-02  3.71535E-02
#           3.98107E-02  4.26580E-02  4.57088E-02  4.89779E-02  5.24807E-02
#           5.62341E-02  6.02560E-02  6.45654E-02  6.91831E-02  7.41310E-02
#           7.94328E-02  8.51138E-02  9.12011E-02  9.77237E-02  1.04713E-01
#           1.12202E-01  1.20226E-01  1.28825E-01  1.38038E-01  1.47911E-01
#           1.58489E-01  1.69824E-01  1.81970E-01  1.94984E-01  2.08930E-01
#           2.23872E-01  2.39883E-01  2.57040E-01  2.75423E-01  2.95121E-01
#           3.16228E-01  3.38844E-01  3.63078E-01  3.89045E-01  4.16869E-01
#           4.46684E-01  4.78630E-01  5.12861E-01  5.49541E-01  5.88844E-01
#           6.30957E-01  6.76083E-01  7.24436E-01  7.76247E-01  8.31764E-01
#           8.91251E-01  9.54993E-01  1.02329E+00  1.09648E+00  1.17490E+00
#           1.25893E+00  1.34896E+00  1.44544E+00  1.54882E+00  1.65959E+00
#           1.77828E+00  1.90546E+00  2.04174E+00  2.18776E+00  2.34423E+00
#           2.51189E+00  2.69153E+00  2.88403E+00  3.09030E+00  3.31131E+00
#           3.54813E+00  3.80189E+00  4.07380E+00  4.36516E+00  4.67735E+00
#           5.01187E+00  5.37032E+00  5.75440E+00  6.16595E+00  6.60693E+00
#           7.07946E+00  7.58578E+00  8.12831E+00  8.70964E+00  9.33254E+00
#           1.00000E+01
     axis =   eng           # axis of output
     file = deposit_Si.out  # file name of output for the above axis
     part =  28Si       electron   positron   all      
# kf/name :  14000028   11         -11        0        
    y-txt = Response [cm^2]
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         205 (  0)           0 (  0)         205 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    100

x: Deposit Energy [MeV]
y: Response [cm^2]
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(28Si    ),hh0l   n y(electron),hh0dr  n y(positron),hh0ub  n y(all     ),hh0mg  n 
#  e-lower      e-upper      28Si        r.err    electron    r.err    positron    r.err    all         r.err 
   1.2023E-04   1.2882E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2882E-04   1.3804E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3804E-04   1.4791E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4791E-04   1.5849E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5849E-04   1.6982E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6982E-04   1.8197E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.8197E-04   1.9498E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.9498E-04   2.0893E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.0893E-04   2.2387E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.2387E-04   2.3988E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.3988E-04   2.5704E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.5704E-04   2.7542E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.7542E-04   2.9512E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.9512E-04   3.1623E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.1623E-04   3.3884E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.3884E-04   3.6308E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.6308E-04   3.8905E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.8905E-04   4.1687E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.1687E-04   4.4668E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.4668E-04   4.7863E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.7863E-04   5.1286E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.1286E-04   5.4954E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.4954E-04   5.8884E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.8884E-04   6.3096E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.3096E-04   6.7608E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.7608E-04   7.2444E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.2444E-04   7.7625E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.7625E-04   8.3176E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.3176E-04   8.9125E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.9125E-04   9.5499E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.5499E-04   1.0233E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0233E-03   1.0965E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0965E-03   1.1749E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.1749E-03   1.2589E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2589E-03   1.3490E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3490E-03   1.4454E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4454E-03   1.5488E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5488E-03   1.6596E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6596E-03   1.7783E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7783E-03   1.9055E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.9055E-03   2.0417E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.0417E-03   2.1878E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.1878E-03   2.3442E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.3442E-03   2.5119E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.5119E-03   2.6915E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.6915E-03   2.8840E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.8840E-03   3.0903E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.0903E-03   3.3113E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.3113E-03   3.5481E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.5481E-03   3.8019E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.8019E-03   4.0738E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.0738E-03   4.3652E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.3652E-03   4.6774E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.6774E-03   5.0119E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.0119E-03   5.3703E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.3703E-03   5.7544E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.7544E-03   6.1660E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.1660E-03   6.6069E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.6069E-03   7.0795E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.0795E-03   7.5858E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.5858E-03   8.1283E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.1283E-03   8.7096E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.7096E-03   9.3325E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.3325E-03   1.0000E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0000E-02   1.0715E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0715E-02   1.1482E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.1482E-02   1.2303E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2303E-02   1.3183E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3183E-02   1.4125E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4125E-02   1.5136E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5136E-02   1.6218E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6218E-02   1.7378E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7378E-02   1.8621E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.8621E-02   1.9953E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.9953E-02   2.1380E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.1380E-02   2.2909E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.2909E-02   2.4547E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.4547E-02   2.6303E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.6303E-02   2.8184E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.8184E-02   3.0200E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.0200E-02   3.2359E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.2359E-02   3.4674E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.4674E-02   3.7154E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.7154E-02   3.9811E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.9811E-02   4.2658E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.2658E-02   4.5709E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.5709E-02   4.8978E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.8978E-02   5.2481E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.2481E-02   5.6234E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.6234E-02   6.0256E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.0256E-02   6.4565E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.4565E-02   6.9183E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.9183E-02   7.4131E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.4131E-02   7.9433E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
